SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx
46,1.2850184010331818,4.664517702470927,0.1765375363843931,101.64125586252605,3.4841622893958384,12.535511398130467,0,0
47,1.3695201902147045,4.428033736605549,0.1842287739031916,103.57838482988329,3.69385946847106,12.451009608948945,0,0
48,1.4698784905827769,4.176834914726472,0.19316822276007173,108.34256772782507,4.23590025578837,12.350651308580876,0,0
49,1.577506484958674,3.937261084727584,0.2025414461255244,112.30686587958063,4.729956533593276,12.243023314204974,0,0
50,1.6929110344480442,3.7087742646422353,0.2123694923132992,130.0918865963757,7.371624539484928,12.127618764715605,0,0
51,1.816629764214748,3.4908613692606485,0.22267443097773348,140.82956176882774,9.383199066121582,12.003900034948902,0,0
52,1.949231863937383,3.283033057956525,0.2334794026729061,163.6342641191003,14.773843491413398,11.871297935226266,0,0
53,2.0913186379114133,3.0848226358340134,0.24480867081657914,172.3127118320755,17.32398015270371,11.729211161252234,0,0
54,2.243523728229641,2.8957850057274284,0.2566876761756205,178.76597884061226,19.439563860984016,11.577006070934008,0,0
55,2.38970908764874,2.7331426173187188,0.2678708269437177,179.68552142834614,19.84090637594299,11.43082071151491,0,0
56,2.545136331266385,2.577290271601893,0.27954119573086944,185.15349120468946,21.830692885107432,11.275393467897265,0,0
57,2.6914781240414243,2.4442257045541464,0.29034101878914165,210.9345229516009,32.458283546946475,11.129051675122225,0,0
58,2.845920886458248,2.316110743956892,0.30155808331261197,215.9968060308701,35.07407837004125,10.9746089127054,0,0
59,2.988012615874371,2.207925472383703,0.3117279402557108,218.31186204352738,36.436649168841136,10.832517183289278,0,0
60,3.1368772698499368,2.103269652595772,0.3222407692362592,220.38465600212857,37.73156636510959,10.683652529313713,0,0
61,3.29278934427696,2.002028139252852,0.3331081367707903,218.49801112227482,37.04378663640433,10.52774045488669,0,0
62,3.4560273421127365,1.9040895435327672,0.344341999449342,215.52474902973285,35.836682904341835,10.364502457050913,0,0
63,3.6019897617620327,1.822689252620354,0.3542720825792927,215.2444919829913,35.96566323951157,10.218540037401619,0,0
64,3.7537195774394334,1.7435705743308647,0.3644885279628326,215.5322468841922,36.404035392897455,10.066810221724213,0,0
65,3.911395417791096,1.666669556114465,0.3749995936718436,217.29312130214717,37.63221930979064,9.909134381372553,0,0
66,4.047462659359281,1.6042345220731056,0.3839899945738943,220.5540723323611,39.657470626572135,9.773067139804366,0,0
67,4.216501575170758,1.5312390291576137,0.395063440663206,228.58636330340985,44.599358304088334,9.604028223992893,0,0
68,4.362284942489244,1.4719748452657977,0.40453486082803386,232.65242119251988,47.445771475008534,9.458244856674405,0,0
69,4.5126456113066205,1.4140982203725216,0.4142333528772865,243.82967732201402,55.133779614974706,9.307884187857027,0,0
70,4.667681813768118,1.3575766674029972,0.4241643607295945,253.38440654164168,62.50106498557276,9.152847985395534,0,0
71,4.8274895791953805,1.3023784599059651,0.4343334588184266,259.9329798556156,68.20745131813602,8.993040219968268,0,0
