Simulation,MedianAges_Gyr_All,MedianAbundance_FeH_All,MedianAbundance_OFe_All,MedianAges_Gyr_H,MedianAbundance_FeH_H,MedianAbundance_OFe_H,MedianAges_Gyr_B,MedianAbundance_FeH_B,MedianAbundance_OFe_B,MedianAges_Gyr_CD,MedianAbundance_FeH_CD,MedianAbundance_OFe_CD,MedianAges_Gyr_WD,MedianAbundance_FeH_WD,MedianAbundance_OFe_WD
au17_or_l4_s127,7.979468755961217,0.06371331717338968,0.23076533509687447,10.443591864591587,-0.5083449493882433,0.2822111663817519,7.9299872786974035,0.29499772412232605,0.22299398727964426,7.120634077113882,0.025184154046809848,0.22152490999996144,8.090193605553736,0.04439449686366359,0.23532703816749567
au18_or_l4_s127,7.234504674781484,0.03044499945185075,0.23431697823911635,10.910096087815205,-0.7247314309546828,0.2901117535339168,8.53576995078048,0.27309865606417016,0.23365652106585721,5.234047117764975,0.049859052030756246,0.21900221995263736,7.8334776125425005,0.0011783451327458394,0.2433559523826877
au20_or_l4_s127,6.896404785337584,-0.15008023898850587,0.24944910387288266,6.823469992867674,-0.40674390296518315,0.257885784780576,9.085642627538975,-0.011226840397899451,0.2542436167651285,5.168689299971675,-0.10404377626470751,0.2378003972429954,6.887450151822532,-0.16037118686194685,0.25072652322498223
au21_or_l4_s127,6.164636227590458,-0.04172258045344801,0.24994503840741888,8.509216413427144,-0.5168037018928304,0.27276352888415234,7.882125506275183,-0.036072216220330855,0.2635481789523285,4.608227894386449,0.08271658310592667,0.22942373968056562,6.177097085886464,-0.04562235767635858,0.2507779403520085
au22_or_l4_s127,7.503673154793072,0.03903704252488538,0.2349514673248273,10.130346841198502,-0.6034872961240758,0.2838453583573599,7.7070090861780125,0.2339069549277757,0.23088533923104027,5.564450243682163,0.04978058801998353,0.21205552982912979,7.547165739899368,0.031249863306816117,0.23899249785063925
au23_or_l4_s127,6.990722493988921,0.0032250967487379434,0.23642316751023296,10.182426979129577,-0.6239493938499727,0.2826168242468563,8.82007003857342,0.19716913977855022,0.24076437120417493,4.991177491194744,0.04573460118150052,0.22501812010358235,7.424662295217062,-0.003682501334037802,0.2393486741336298
au24_or_l4_s127,7.842867512459149,-0.12459867425587934,0.25889569702719983,10.27966682077208,-0.6253527294435264,0.28716454232712874,9.008021900641634,0.07194757695901455,0.26974543950581764,5.329217792205094,-0.049795258191402514,0.24331576146616363,7.810139241643091,-0.1563026390488571,0.2604243791667369
au25_or_l4_s127,7.156095975937287,-0.12320288986501904,0.2502541483256513,10.406014286607405,-0.794789308202942,0.27341658815798553,10.82276317944022,-0.3082052997466649,0.28257429597021877,6.162403512366736,-0.055580826090304125,0.24353517740803643,7.363734128102542,-0.12584918533061895,0.2512323634167397
au26_or_l4_s127,6.388202674380361,0.07879134730501791,0.23283592299437295,10.1623269966349,-0.5029643990941746,0.2879775258495655,6.745858665245732,0.3775398789727067,0.21412433676682485,4.839691367512376,0.09278587573046959,0.22681194160189921,5.9838449726117,0.1425103437015638,0.22627339718774808
au27_or_l4_s127,6.670131589678173,-0.025452384010559825,0.2389348598859884,9.895301047085978,-0.6066654383825281,0.2919270344823204,9.220893617037449,0.03944770329732883,0.27683733029758084,4.333485683788197,0.07928776344588417,0.22241838682877968,6.981353880695422,-0.022621651655499342,0.23934546490346387
