CylindricalRadius_ckpc,[Fe/H]_Stars,[Fe/H]_H_Stars,[Fe/H]_B_Stars,[Fe/H]_CD_Stars,[Fe/H]_WD_Stars,[O/H]_Stars,[O/H]_H_Stars,[O/H]_B_Stars,[O/H]_CD_Stars,[O/H]_WD_Stars,[O/Fe]_Stars,[O/Fe]_H_Stars,[O/Fe]_B_Stars,[O/Fe]_CD_Stars,[O/Fe]_WD_Stars
30.25,-0.384127,-0.785189,,-0.101451,-0.638512,-0.127897,-0.499765,,0.134494,-0.365103,0.25623,0.285424,,0.235945,0.27341
30.75,-0.398571,-0.757419,,-0.121066,-0.653543,-0.14026,-0.468666,,0.114759,-0.378308,0.258311,0.288753,,0.235825,0.275235
31.25,-0.438703,-0.765385,,-0.121042,-0.685369,-0.179161,-0.481392,,0.114153,-0.40544,0.259543,0.283994,,0.235195,0.279929
31.75,-0.449959,-0.771103,,-0.128442,-0.638815,-0.187626,-0.484797,,0.10946,-0.360901,0.262334,0.286306,,0.237902,0.277914
32.25,-0.495362,-0.78398,,-0.162015,-0.709002,-0.23024,-0.49691,,0.078981,-0.431153,0.265122,0.28707,,0.240996,0.277849
32.75,-0.541637,-0.84024,,-0.176825,-0.644526,-0.275127,-0.553162,,0.063227,-0.367515,0.26651,0.287079,,0.240051,0.277011
33.25,-0.57688,-0.795961,,-0.228432,-0.671401,-0.307882,-0.510637,,0.014278,-0.394699,0.268998,0.285324,,0.24271,0.276702
33.75,-0.592504,-0.760856,,-0.236752,-0.759555,-0.318262,-0.47371,,0.00758,-0.467731,0.274242,0.287146,,0.244332,0.291824
34.25,-0.627072,-0.782276,,-0.288328,-0.695175,-0.353391,-0.497731,,-0.040825,-0.412875,0.273682,0.284544,,0.247502,0.2823
34.75,-0.63989,-0.771224,,-0.34901,-0.641598,-0.363833,-0.485009,,-0.09813,-0.361674,0.276057,0.286215,,0.250879,0.279924
35.25,-0.681023,-0.783343,,-0.383662,-0.709758,-0.403329,-0.496198,,-0.133726,-0.429092,0.277694,0.287145,,0.249937,0.280666
35.75,-0.66972,-0.806023,,-0.308195,-0.675678,-0.392291,-0.519513,,-0.055773,-0.396716,0.277429,0.28651,,0.252422,0.278962
36.25,-0.749101,-0.832542,,-0.386726,-0.783892,-0.466282,-0.54406,,-0.132309,-0.495176,0.282819,0.288482,,0.254417,0.288716
36.75,-0.704743,-0.819134,,-0.332664,-0.676836,-0.424583,-0.529613,,-0.083923,-0.398019,0.28016,0.28952,,0.248741,0.278817
37.25,-0.733837,-0.798979,,-0.422505,-0.741904,-0.451489,-0.512874,,-0.166009,-0.453791,0.282348,0.286105,,0.256496,0.288113
37.75,-0.753441,-0.799442,,-0.492238,-0.746007,-0.471307,-0.514239,,-0.237336,-0.458655,0.282134,0.285203,,0.254903,0.287352
38.25,-0.776519,-0.812953,,-0.542539,-0.778451,-0.492896,-0.52643,,-0.281578,-0.491902,0.283623,0.286523,,0.260961,0.286549
38.75,-0.830369,-0.834786,,-0.706364,-0.87078,-0.540443,-0.54577,,-0.417522,-0.576767,0.289927,0.289016,,0.288842,0.294013
39.25,-0.828187,-0.849099,,-0.69537,-0.787399,-0.545725,-0.565108,,-0.430311,-0.504552,0.282462,0.283991,,0.26506,0.282847
39.75,-0.876352,-0.871485,,-0.835823,-0.905344,-0.586216,-0.583625,,-0.555355,-0.604119,0.290135,0.287861,,0.280468,0.301224
40.25,-0.800889,-0.8087,,-0.602811,-0.852339,-0.517577,-0.52448,,-0.343867,-0.562462,0.283313,0.28422,,0.258944,0.289877
40.75,-0.851943,-0.861206,,-0.595416,-0.933826,-0.564729,-0.572414,,-0.330577,-0.643229,0.287215,0.288792,,0.264839,0.290597
41.25,-0.877353,-0.889374,,-0.727924,-0.880442,-0.585247,-0.595256,,-0.46671,-0.585652,0.292105,0.294118,,0.261214,0.29479
41.75,-0.845756,-0.843367,,-0.610062,-0.923222,-0.560521,-0.557815,,-0.349242,-0.632774,0.285235,0.285553,,0.26082,0.290449
42.25,-0.867529,-0.8633,,-0.972619,-0.854387,-0.576899,-0.574709,,-0.682213,-0.552233,0.290629,0.288591,,0.290405,0.302154
42.75,-0.871443,-0.845472,,-0.911612,-0.97027,-0.584425,-0.55905,,-0.625228,-0.680638,0.287018,0.286422,,0.286384,0.289632
43.25,-0.887944,-0.871539,,-1.078768,-0.924561,-0.595646,-0.579776,,-0.792072,-0.627334,0.292298,0.291763,,0.286695,0.297227
43.75,-0.871685,-0.828693,,-1.187472,-1.061976,-0.584439,-0.543701,,-0.913723,-0.757237,0.287247,0.284992,,0.273749,0.304739
44.25,-0.876287,-0.858213,,-1.018006,-0.951082,-0.591493,-0.574312,,-0.734296,-0.66082,0.284794,0.2839,,0.283711,0.290262
44.75,-0.872794,-0.831142,,-1.011887,-1.030335,-0.581533,-0.542329,,-0.718477,-0.729134,0.291261,0.288813,,0.293411,0.301201
45.25,-0.896583,-0.873223,,-1.085027,-0.991559,-0.601412,-0.577739,,-0.803596,-0.694894,0.295171,0.295484,,0.281431,0.296665
45.75,-0.902129,-0.874023,,-1.1007,-1.041158,-0.610909,-0.582645,,-0.804827,-0.751075,0.29122,0.291378,,0.295873,0.290084
46.25,-0.876496,-0.843117,,-1.076922,-1.008067,-0.587587,-0.555983,,-0.757567,-0.715577,0.288909,0.287134,,0.319355,0.29249
46.75,-0.859968,-0.838892,,-1.055924,-0.987672,-0.57168,-0.551114,,-0.734608,-0.702145,0.288288,0.287778,,0.321316,0.285527
47.25,-0.842833,-0.822497,,-1.171105,-0.935305,-0.556206,-0.537091,,-0.877827,-0.641688,0.286628,0.285405,,0.293278,0.293616
47.75,-0.86467,-0.833456,,-1.061019,-1.04369,-0.576074,-0.546649,,-0.767312,-0.744288,0.288595,0.286807,,0.293707,0.299402
48.25,-0.888807,-0.861872,,-1.267384,-0.991176,-0.598585,-0.573043,,-0.981363,-0.688862,0.290222,0.288829,,0.28602,0.302314
48.75,-0.900064,-0.885612,,-0.949697,-0.991381,-0.610161,-0.599053,,-0.662214,-0.678332,0.289902,0.286559,,0.287483,0.313049
49.25,-0.90441,-0.865786,,-1.761077,-1.065275,-0.61402,-0.579403,,-1.426859,-0.752251,0.29039,0.286383,,0.334219,0.313024
49.75,-0.862616,-0.832596,,-1.384203,-1.067971,-0.581104,-0.550533,,-1.062377,-0.794465,0.281512,0.282062,,0.321826,0.273506
