,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,Abundance_[O/Fe]
10,0.00017864925,7.051714e-05,0.00010813212,3.8298313e-05,0.0,2.1059652e-05,1.1159171e-05,0.013642392,0.013619592,2.279957e-05,5.6016506e-06,0.0069905026,0.0026372538,0.003982946,0.00334507,0.0033188243,2.624535e-05,9.441543e-06,0.00084180775,0.0017146561,0.0007529192,0.0044439207,0.004398996,4.492422e-05,5.499951e-06,0.0014659535,0.0014344003,0.0014931425,0.16300000000000003
11,0.00027542142,0.00014386231,0.00013155914,5.592004e-05,0.0,6.570263e-05,2.2239636e-05,0.013239279,0.013200458,3.8822538e-05,6.6574594e-06,0.0054664677,0.0034931414,0.0042341906,0.0047312425,0.004685194,4.604749e-05,0.0,0.00069948245,0.0031565607,0.0008291514,0.0049739303,0.004925148,4.8781993e-05,8.103558e-06,0.0013653504,0.0020380793,0.0015136148,0.16900000000000004
12,0.0004331499,0.00028059038,0.00015255951,6.4077576e-05,1.1350165e-05,0.00016142604,4.3736592e-05,0.015030175,0.014998496,3.167962e-05,6.9873345e-06,0.0060503073,0.0044258526,0.0045153494,0.007292541,0.0072255614,6.697885e-05,8.155135e-06,0.0007015195,0.005615533,0.0009003549,0.005867394,0.005795084,7.231002e-05,1.5151538e-05,0.0011848753,0.0027399454,0.0018551117,0.17500000000000002
13,0.00080052135,0.00061491044,0.00018561089,8.266076e-05,1.3994672e-05,0.00040840294,0.00010985206,0.014702703,0.014632414,7.029079e-05,0.0,0.0052064834,0.005200178,0.0042226226,0.010305053,0.010238276,6.677575e-05,1.2305006e-05,0.0005054562,0.008654401,0.0010661148,0.007210128,0.0070936373,0.00011649035,2.359662e-05,0.0011997101,0.0040252837,0.0018450471,0.18100000000000002
14,0.0015967287,0.0013218154,0.0002749132,0.0001769523,7.613994e-06,0.00096077804,0.00017647109,0.013368698,0.013253848,0.00011485083,1.3412567e-05,0.0040727234,0.005782505,0.003385206,0.01546254,0.015288738,0.00017380323,8.876689e-06,0.0005028414,0.013752943,0.001024076,0.008538168,0.008352579,0.00018558952,3.3792516e-05,0.0010098343,0.005500061,0.0018088911,0.187
15,0.0029935387,0.0024698914,0.00052364724,0.00026161975,2.248409e-05,0.0017043764,0.00048141126,0.014859743,0.014372447,0.00048729737,1.0887626e-05,0.0044052536,0.0067408867,0.0032118093,0.026748447,0.026369704,0.0003787426,1.60255e-05,0.00066317286,0.024140498,0.0015500099,0.012516551,0.012016563,0.0004999872,4.975355e-05,0.0011895088,0.008466454,0.0023108467,0.193
16,0.0057091606,0.005024311,0.000684849,0.00047418813,2.6111096e-05,0.0033941055,0.0011299062,0.019427875,0.018207353,0.0012205243,3.0101424e-05,0.0060975216,0.008072169,0.0040041935,0.04585271,0.044956293,0.0008964153,1.8485942e-05,0.0009971617,0.041626554,0.0023140933,0.019528972,0.01828293,0.0012460413,8.3472914e-05,0.001776586,0.013059647,0.0033632244,0.199
17,0.010912116,0.0091960635,0.0017160515,0.0012570877,8.9219146e-05,0.0054630702,0.0023866866,0.021579046,0.01832744,0.0032516064,5.4139902e-05,0.0044439402,0.009453084,0.0043729334,0.06838828,0.06633121,0.0020570743,4.5893634e-05,0.00079295255,0.061703596,0.0037887678,0.027939385,0.024968084,0.0029713027,0.00017016957,0.0014914443,0.018626863,0.0046796054,0.20500000000000002
18,0.017797178,0.014371789,0.0034253881,0.0019465577,0.00017734735,0.0084844725,0.0037577087,0.026027543,0.019252207,0.006775338,7.1321956e-05,0.0043309885,0.010032948,0.0048169484,0.083784744,0.07911116,0.004673578,9.99473e-05,0.000837164,0.07299633,0.005177717,0.037320998,0.030450659,0.0068703387,0.0002896073,0.0017000473,0.021969337,0.0064916657,0.21100000000000002
19,0.02643658,0.018993994,0.0074425847,0.0025090708,0.0003536149,0.011921867,0.0042094425,0.029383745,0.019964257,0.009419489,8.503039e-05,0.0040222444,0.010685299,0.0051690824,0.07819474,0.06869538,0.009499361,0.00022300446,0.00066188496,0.06232582,0.0054846727,0.043052305,0.030959493,0.012092811,0.0004329782,0.0012557603,0.022464588,0.0068061627,0.21700000000000003
20,0.0402269,0.02450541,0.015721489,0.0032095492,0.0004911503,0.015310879,0.0054938314,0.03215005,0.01980895,0.012341099,8.2444334e-05,0.0028969035,0.01152681,0.0052998243,0.0660675,0.05125857,0.014808939,0.0002856758,0.0003692209,0.045412544,0.0051911306,0.04910801,0.029832477,0.019275539,0.000572974,0.0007752552,0.02205884,0.006425407,0.22300000000000003
21,0.053231724,0.030372804,0.02285892,0.002730106,0.0006841002,0.020845115,0.006110482,0.038002178,0.02350004,0.014502139,8.728508e-05,0.0037610293,0.012619106,0.0070264554,0.05708996,0.03886032,0.018229635,0.00028447108,0.00030725132,0.03342717,0.004841425,0.055103857,0.030746387,0.024357472,0.00052005175,0.0007813017,0.022986658,0.006458378,0.22900000000000004
22,0.06358571,0.0340748,0.029510919,0.0025176823,0.00029163147,0.025505379,0.005760107,0.04663663,0.03110185,0.015534782,0.00011878999,0.00562524,0.015709355,0.009648464,0.05507229,0.033570115,0.021502178,0.00034192653,0.0003760965,0.02818118,0.004670909,0.061518624,0.03387463,0.027643993,0.00055367005,0.0009246857,0.025708754,0.006687524,0.23500000000000004
