,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
44,1.115309430693374,0.1605759932010687,-0.03751920770694412,-0.20637916613783408,0.5909128285295504,0.4109784090889013,0.1310986529941508,0.9811059602066208,-0.01494254270320861,-0.4490978248608839,0.8170081421287089,-0.010729552006187113,-0.094705714052146,0.8520563377500804
45,1.197181863756146,0.1683677232791182,-0.6869694364039169,-1.921831027087317,0.2503219360424988,0.9327057034138901,0.26363825826806414,1.921831027087317,0.8211867411157414,0.5527330503299783,0.9458646564688149,0.9494599132735869,0.6765291300484771,1.2056524441983087
46,1.2850184010331818,0.1765375363843931,0.08284202796759382,-0.6865573368404367,1.0876699503851972,0.5046156403043346,0.11863049264309365,1.6577816140322483,0.7373276938340091,-0.13650020876145305,0.9456296088491434,0.756976519258669,-0.08061911909344002,1.0153768467594053
47,1.3695201902147043,0.18422877390319162,-0.052959332260528,-0.8201816163512534,0.5328015059316039,0.4394473511510626,0.12549359733041426,1.316765756366253,0.7217524259198713,-0.3924052465717915,0.9510546552826803,0.36119669268897114,-0.1346383795731303,1.0259311851720083
48,1.469878490582777,0.19316822276007173,-0.0767648631342345,-0.9399206572146355,0.7194166721986291,0.48611339578430784,0.16053736805703947,1.7405650459306081,0.20451156587939187,-0.8768618060864362,0.907110894311453,0.08917201935453002,-0.5339654969426019,0.9234272965009814
49,1.577506484958674,0.20254144612552438,-0.21846285356675477,-1.7322398587642294,0.7410646880358861,0.5934669021336876,0.22825720792126575,2.027527975983741,-0.024390980716112006,-0.8018545404279082,0.8096214689625881,-0.0042494664414868995,-0.34867830853358606,0.5366512763838138
50,1.6929110344480442,0.21236949231329916,-0.017816211903665165,-1.42504204696729,0.8928668888247631,0.6150883382061088,0.14448159393370463,2.3058873794085746,0.672593723891171,-0.6643585875697732,0.9294649896815067,0.4177812890918222,-0.34592768670514196,0.9595516327921849
51,1.816629764214748,0.22267443097773348,0.1361259150871473,-0.7034926085821777,1.099762750339306,0.6066227559769213,0.1687117523532753,1.562635688450684,0.7500873246769512,-0.5451768319287261,0.9626777531565222,0.4713571704174013,-0.20633868155274787,0.9990310580993662
52,1.949231863937383,0.23347940267290615,-0.02699054572190749,-1.0389485329009747,0.8045708123625349,0.5354401870925508,0.14061695570963686,1.6215756683029863,0.8151996126010924,-0.20680612623017433,0.9636752307482283,0.7598591105841362,-0.06420670214048256,1.049375576979624
53,2.0913186379114133,0.24480867081657914,0.0035850731484679105,-0.9558825592587796,0.9089565486140287,0.5469547996454389,0.15014303412201574,1.950098570905428,0.8922710834859853,0.34356877952757026,0.9787874226162269,0.8003242378046864,0.11835789102435142,1.0285213927297199
