,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
57,2.6914781240414243,0.29034101878914165,0.18422505939994313,-1.6584722554737552,2.0285464441545296,1.1831412353524782,0.3386473167153332,2.9679104944067993,0.9657966783744169,0.8643964367852432,0.9926549645092091,0.8579024692201394,0.5562753919451485,1.121858129026661
58,2.845920886458248,0.30155808331261197,0.10474145694043123,-1.6915168594801697,1.8826314632635595,1.1658032619092147,0.3323274547500461,2.782472976197285,0.9637234266999771,0.8777710624675817,0.991583825959093,0.8934276251382972,0.6314608871654934,1.1201027745139152
59,2.988012615874371,0.3117279402557108,0.020602294946583204,-1.5700531338617,1.6804502353944015,1.0349117742656349,0.3014051659527047,2.5680980094624863,0.9658597724873964,0.8887349092379457,0.9923358632805184,0.8851366143444952,0.6662522887723047,1.100359969049996
60,3.1368772698499368,0.32224076923625916,0.039472026158637354,-1.39545843315945,1.6272425502405765,0.9639521028609879,0.2659149894231881,2.4181811573286183,0.9604211528737513,0.8717750786793268,0.9906946130351434,0.8923877385314729,0.6818173922421172,1.1034267987951887
61,3.29278934427696,0.3331081367707903,-0.02691057724217051,-1.5406424596663004,1.3923424055231515,0.9247382248878835,0.26328081363581873,2.396509979274166,0.9585284569639815,0.8728959473285935,0.9907373078298589,0.8808836424004154,0.6682559229617606,1.0925606045828713
62,3.4560273421127374,0.344341999449342,0.017410831411930876,-1.5069098188031194,1.6209378196357658,0.9956108299150153,0.2906232028287392,2.6189172072536895,0.9440698949864392,0.8366574792657928,0.9864537357273968,0.8608990474879532,0.6419129172310364,1.061330489419712
63,3.6019897617620327,0.3542720825792927,-0.05413532897804318,-1.6420736408380112,1.5205312998560434,1.011093562573449,0.284309729288951,2.6688818041122713,0.9391472265496196,0.8213204827711783,0.9849549740536491,0.8525392732685211,0.6281854627234508,1.0617912494803154
64,3.7537195774394347,0.3644885279628326,0.009631209452084004,-1.383653576465334,1.499182596455325,0.9094251832674964,0.2662195133484066,2.4448672897097223,0.9389741437375336,0.8146457546966384,0.98573323127707,0.8616661114920467,0.6257459741975204,1.0763201154021211
65,3.911395417791096,0.3749995936718436,-0.09263308935141193,-1.7483220455132111,1.3865131219688054,0.9841816224291597,0.2760624575835239,2.57248316426088,0.9266024145946485,0.8012082524546263,0.9811991084090774,0.8319985864382365,0.5844672058893777,1.0638569209500388
66,4.047462659359281,0.3839899945738943,-0.006267826639066022,-1.5879095811286805,1.4349796203184062,0.937886638710455,0.25929748764210503,2.4979587479142102,0.9362878644397759,0.8164267803597741,0.9848952232841908,0.8449269513175731,0.6060131700080557,1.058156197319347
67,4.216501575170758,0.395063440663206,0.01552063436785756,-1.4427471999548043,1.4881758424402298,0.882425218237499,0.2418780913216961,2.5260899668673438,0.9433800345955318,0.828280698728821,0.9877154437801485,0.852798454211154,0.6198090884194397,1.045866344992489
68,4.362284942489244,0.40453486082803386,0.07856067342229926,-1.4484415923634473,1.508327058287159,0.9066046305551333,0.24562780976705556,2.572928434024403,0.9421243713889045,0.8184518643931675,0.9871179597248564,0.8375172272368845,0.5876336138784033,1.076412366236993
69,4.51264561130662,0.41423335287728646,0.08015747675912047,-1.315064528943937,1.737005874599491,0.9028515066072602,0.25135072038708006,2.68162407467422,0.9444835063333616,0.8256558729086154,0.9875000095728214,0.8083210899889222,0.5645703790287008,1.0781905098866738
70,4.667681813768118,0.42416436072959446,0.03890660816922968,-1.3605636727434682,1.609914698700831,0.9252224384495358,0.2554178834720785,2.434306584147447,0.9471879386319736,0.8301321808895412,0.9880463963294245,0.8305051730127482,0.5671370263611437,1.0885923524846626
71,4.827489579195381,0.4343334588184266,0.04167275784877528,-1.3286433219116245,1.5148061811619373,0.8820540891343905,0.24089931528782837,2.414188510783205,0.9533950533508608,0.8409706790383058,0.990318222268623,0.8491181587793808,0.58320036716742,1.095539259202155
72,4.992162284945694,0.4447463552211064,0.018314542068397967,-1.4701148346797572,1.6182328492915423,0.9266977543585815,0.2541923107581775,2.7141136687057696,0.950633929542529,0.8316880982325756,0.9898062528318339,0.806184900237629,0.5207165262236442,1.0757485512235778
73,5.127463975584815,0.45325613023749545,-0.07103592502919182,-1.6169658699334366,1.4299536662854457,0.9170342017899963,0.24877728022299894,2.66182934481223,0.9500544668134935,0.8405077166859123,0.9888742381152034,0.8219425858373689,0.5472830118403056,1.0980014730638523
74,5.301118608921481,0.46412268687092223,-0.10695870400401294,-1.8969978430452605,1.6097845047471102,1.0423065716374553,0.27723790766992445,3.183413737132202,0.9423965119589647,0.8286665015174237,0.9860884390207985,0.8308664289201483,0.5627943962422218,1.0703867180378668
75,5.443716379840261,0.4730032085410998,-0.11681492444499395,-2.1469899734954025,1.640601676710675,1.090992170204439,0.28535041483030354,3.4699175241122333,0.9473818117689493,0.8431644230503117,0.9869891365978368,0.8398233163561258,0.5919134365588508,1.0716863394428484
