SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx
192,10.0840589,3.7364709,0.3225482,0.7561161,257.0037374,109.9248275,0,0
193,10.1418757,3.6786541,0.3162964,0.7597073,257.1055191,110.8472559,0,0
194,10.1998995,3.6206303,0.3100741,0.7633156,256.905012,111.3771481,0,0
195,10.2581294,3.5624004,0.3038813,0.766941,256.5510737,111.7014509,0,0
196,10.3165647,3.5039651,0.2977177,0.7705836,256.1663524,112.0127058,0,0
197,10.3752046,3.4453252,0.2915832,0.7742436,255.8280255,112.3762307,0,0
198,10.4340485,3.3864813,0.2854778,0.7779209,255.3481628,112.5713504,0,0
199,10.4930955,3.3274343,0.2794012,0.7816156,254.7705861,112.6113943,0,0
200,10.5523448,3.268185,0.2733533,0.785328,254.1946586,112.6968071,0,0
201,10.6117956,3.2087342,0.2673341,0.7890579,253.6119148,112.7449678,0,0
202,10.6714471,3.1490827,0.2613433,0.7928056,252.9435063,112.6977865,0,0
203,10.7312984,3.0892314,0.2553808,0.7965711,252.3455249,112.7656709,0,0
204,10.7913488,3.029181,0.2494464,0.8003544,251.7644742,112.8407152,0,0
205,10.8515973,2.9689325,0.2435402,0.8041558,251.2318847,112.973906,0,0
206,10.9120432,2.9084866,0.2376618,0.8079751,250.7060014,113.1495723,0,0
207,10.9726855,2.8478443,0.2318113,0.8118127,250.160483,113.2717755,0,0
208,11.0335233,2.7870065,0.2259884,0.8156684,249.6026295,113.3958361,0,0
209,11.0945558,2.725974,0.220193,0.8195425,249.0135971,113.4959065,0,0
210,11.155782,2.6647478,0.214425,0.8234349,248.5500934,113.7605318,0,0
211,11.2172011,2.6033287,0.2086843,0.8273459,248.0573678,113.9886593,0,0
212,11.278812,2.5417178,0.2029707,0.8312754,247.5109699,114.1329503,0,0
213,11.3406139,2.4799159,0.1972842,0.8352236,246.910394,114.2221006,0,0
214,11.4026058,2.417924,0.1916245,0.8391905,246.320746,114.3294772,0,0
215,11.4647868,2.355743,0.1859916,0.8431763,245.9855633,114.8054447,0,0
216,11.5271559,2.2933739,0.1803853,0.847181,245.4796451,115.0221794,0,0
217,11.5897121,2.2308177,0.1748055,0.8512048,244.9824779,115.2868948,0,0
218,11.6524544,2.1680754,0.169252,0.8552476,244.4008995,115.4119574,0,0
219,11.7153819,2.1051479,0.1637249,0.8593096,243.7491359,115.450898,0,0
220,11.7784935,2.0420363,0.1582238,0.863391,243.2479889,115.7035225,0,0
221,11.8417883,1.9787415,0.1527488,0.8674917,242.672655,115.8568084,0,0
222,11.9052652,1.9152646,0.1472996,0.8716119,241.9550598,115.8197816,0,0
223,11.9689232,1.8516066,0.1418762,0.8757517,241.2603759,115.8177327,0,0
224,12.0327613,1.7877685,0.1364784,0.8799111,240.6222227,115.8873845,0,0
225,12.0967784,1.7237514,0.1311062,0.8840903,240.0148086,115.9980147,0,0
226,12.1609735,1.6595563,0.1257593,0.8882893,239.3662551,116.083889,0,0
227,12.2253455,1.5951843,0.1204378,0.8925083,238.708137,116.1264321,0,0
228,12.2898934,1.5306364,0.1151413,0.8967473,238.0803841,116.2237443,0,0
229,12.3546162,1.4659136,0.1098699,0.9010065,237.4202651,116.299239,0,0
230,12.4195126,1.4010172,0.1046235,0.9052859,236.7287254,116.2959179,0,0
231,12.4845818,1.335948,0.0994018,0.9095856,236.0083817,116.2748659,0,0
232,12.5498226,1.2707072,0.0942048,0.9139057,235.284432,116.2611539,0,0
233,12.6152338,1.205296,0.0890324,0.9182463,234.5654955,116.2186783,0,0
234,12.6808145,1.1397153,0.0838844,0.9226076,233.8688107,116.2512809,0,0
235,12.7465635,1.0739663,0.0787608,0.9269896,233.294928,116.4485058,0,0
236,12.8124798,1.00805,0.0736614,0.9313923,232.7639435,116.7330123,0,0
237,12.8785621,0.9419677,0.0685861,0.935816,232.1115422,116.8146312,0,0
238,12.9448094,0.8757204,0.0635348,0.9402608,231.3593601,116.7648493,0,0
239,13.0112207,0.8093091,0.0585073,0.9447266,230.5892139,116.6780181,0,0
240,13.0777947,0.7427351,0.0535036,0.9492136,229.8730259,116.6794816,0,0
241,13.1445304,0.6759994,0.0485236,0.9537219,229.1796613,116.7073896,0,0
242,13.2114266,0.6091032,0.0435672,0.9582517,228.5672559,116.8704585,0,0
243,13.2784822,0.5420476,0.0386341,0.962803,228.0065439,117.1132437,0,0
244,13.3456961,0.4748337,0.0337244,0.9673759,227.6201955,117.6490013,0,0
245,13.4130671,0.4074627,0.0288379,0.9719705,227.820065,119.0834107,0,0
246,13.4805942,0.3399356,0.0239744,0.9765869,227.2914772,119.4075334,0,0
247,13.5482761,0.2722537,0.019134,0.9812252,226.6563144,119.5412645,0,0
248,13.6161118,0.204418,0.0143164,0.9858856,226.0649954,119.7799743,0,0
249,13.6841,0.1364298,0.0095217,0.9905681,225.3938384,119.8707008,0,0
250,13.7522398,0.06829,0.0047496,0.9952729,224.7011774,119.9477265,0,0
251,13.8205298,0.0,0.0,1.0,223.9334059,119.8752602,0,0
