,StellarMassFraction_0,StellarMassFraction_0_InSitu,StellarMassFraction_0_ExSitu,StellarMassFraction_0to0,StellarMassFraction_1to0,StellarMassFraction_2to0,StellarMassFraction_3to0,StellarMassFraction_1,StellarMassFraction_1_InSitu,StellarMassFraction_1_ExSitu,StellarMassFraction_0to1,StellarMassFraction_1to1,StellarMassFraction_2to1,StellarMassFraction_3to1,StellarMassFraction_2,StellarMassFraction_2_InSitu,StellarMassFraction_2_ExSitu,StellarMassFraction_0to2,StellarMassFraction_1to2,StellarMassFraction_2to2,StellarMassFraction_3to2,StellarMassFraction_3,StellarMassFraction_3_InSitu,StellarMassFraction_3_ExSitu,StellarMassFraction_0to3,StellarMassFraction_1to3,StellarMassFraction_2to3,StellarMassFraction_3to3,StellarAge_Gyr
0,6.254276e-05,6.254276e-05,0.0,5.1994473e-05,0.0,1.0548285e-05,0.0,0.0032728845,0.0032728843,0.0,0.0,0.0022689232,0.0003120216,0.00069193955,0.045227863,0.045227863,0.0,0.0,8.398898e-05,0.04409426,0.0010496114,0.0043797204,0.0043797214,0.0,1.1270726e-05,0.0002750374,0.0008585774,0.0032348358,0.14
1,0.0001829789,0.00018297891,0.0,8.274974e-05,0.0,1.8572735e-05,8.165643e-05,0.004093541,0.004093541,0.0,0.0,0.002000648,0.000737156,0.001355737,0.046009548,0.046009548,0.0,1.1817796e-06,0.00013554949,0.0445096,0.0013632199,0.0058550276,0.0058490816,5.9458275e-06,1.5000723e-05,0.000555271,0.0027242836,0.0025545266,0.42000000000000004
2,0.0013113079,0.0011654145,0.00014589343,0.0008953249,0.0,4.5741974e-05,0.00022434758,0.004450563,0.0044505633,0.0,0.0,0.0023308808,0.0006812816,0.001438401,0.050155554,0.050150942,4.6162845e-06,1.9659448e-05,9.459179e-05,0.048180092,0.0018565934,0.010640864,0.010506195,0.00013466834,0.00023631433,0.00042025483,0.0060595213,0.0037901052,0.7000000000000001
3,0.0009162254,0.0007187852,0.00019744027,0.00042895993,6.1363003e-06,7.8284655e-05,0.0002054043,0.0013071499,0.00130715,0.0,0.0,0.00063024356,0.0002667394,0.00041016692,0.042367466,0.04236163,5.8352352e-06,9.879286e-06,3.9068174e-05,0.041103654,0.0012090288,0.009659175,0.00928823,0.00037094537,0.0001684305,0.00013469334,0.0071706693,0.0018144371,0.9800000000000001
4,0.0006596914,0.00026376394,0.00039592737,0.00012504784,0.0,3.4145487e-05,0.00010457063,0.0017785019,0.0017785018,0.0,0.0,0.0009568839,0.00023585185,0.00058576616,0.03100737,0.030985046,2.2325163e-05,4.228845e-06,2.6254285e-05,0.029727813,0.0012267472,0.011796929,0.011025052,0.0007718775,3.9656567e-05,0.0001369297,0.008997256,0.0018512083,1.2600000000000002
5,0.0014703717,0.00069096044,0.0007794114,0.00031427355,6.2174568e-06,0.00013369982,0.0002367696,0.0040393383,0.004039339,0.0,0.0,0.0018480526,0.0007191006,0.0014721852,0.029990619,0.029962549,2.8071023e-05,6.559929e-06,9.0131594e-05,0.028607659,0.0012581983,0.012433171,0.012078927,0.00035424554,5.2119485e-05,0.00031061316,0.009162191,0.0025540038,1.54
6,0.0021771372,0.0008169445,0.0013601928,0.0006097169,4.087929e-06,4.2306598e-05,0.00016083308,0.00432204,0.0043220404,0.0,0.0,0.0022541797,0.00065827626,0.0014095843,0.03078692,0.030764297,2.2622024e-05,4.715492e-05,9.973352e-05,0.028541643,0.0020757671,0.014493389,0.013986958,0.0005064315,0.00013125737,0.00035055014,0.010826655,0.0026784958,1.8200000000000003
7,0.011998284,0.010836397,0.0011618864,0.0072816587,3.398782e-06,0.0012842633,0.0022670764,0.0062426478,0.0062426478,0.0,1.4380834e-05,0.0033909697,0.0010680812,0.0017692157,0.025939679,0.025910564,2.9113415e-05,0.0002444548,0.00014377674,0.021837827,0.003684507,0.01768468,0.016931066,0.0007536135,0.001080155,0.00042928982,0.010774913,0.0046467073,2.1
8,0.0069615263,0.0010947591,0.005866768,0.00013903285,0.0,0.0004721727,0.00048355348,0.008416348,0.008416349,0.0,0.0,0.00519177,0.0012312271,0.0019933523,0.02295693,0.022873519,8.3413e-05,4.0143077e-06,0.00018775491,0.021483805,0.0011979475,0.013628378,0.01310137,0.0005270083,1.5916874e-05,0.000766728,0.010567505,0.0017512209,2.3800000000000003
9,0.00708698,0.0003032023,0.006783778,0.00017101444,0.0,3.508183e-05,9.710603e-05,0.009338381,0.00933838,0.0,0.0,0.0054827766,0.0014487577,0.002406845,0.023220962,0.023164403,5.656059e-05,2.9108724e-06,0.00020372061,0.021917768,0.0010399999,0.016063413,0.015585845,0.0004775657,1.3315269e-05,0.0007714984,0.012628045,0.0021729874,2.66
10,0.007375812,0.00051679544,0.0068590166,0.00030799082,3.4691577e-06,9.3592906e-05,0.000111742585,0.0081393635,0.0081393635,0.0,0.0,0.004740694,0.0013756045,0.0020230645,0.031105774,0.030983742,0.00012202922,8.270641e-06,0.0001949478,0.029688029,0.0010924956,0.021751583,0.020583067,0.0011685173,4.1918604e-05,0.0007733621,0.017529521,0.0022382657,2.9400000000000004
11,0.008912593,0.0009724891,0.007940104,0.00026434546,5.216081e-06,0.00027907366,0.00042385387,0.0058573703,0.0058573713,0.0,0.0,0.0032708694,0.0010450778,0.0015414237,0.028358284,0.028173348,0.00018493328,2.081452e-05,0.00012710415,0.02701163,0.0010138024,0.022647163,0.020052478,0.002594685,6.509911e-05,0.00039187068,0.01747356,0.002121948,3.22
12,0.008823622,0.0010421756,0.007781446,0.0002685668,6.695417e-06,0.00030308007,0.0004638333,0.0069211163,0.0069211167,0.0,3.1032446e-06,0.003375742,0.0014819646,0.0020603065,0.030039573,0.029925933,0.00011364096,1.2929321e-05,7.967344e-05,0.028457073,0.0013762548,0.024982212,0.023154892,0.0018273218,7.8187935e-05,0.00036140755,0.019716956,0.0029983385,3.5000000000000004
13,0.008660856,0.001102267,0.007558589,0.00023159735,8.05782e-06,0.0004248416,0.00043777016,0.0048358133,0.0048358133,0.0,1.0396501e-05,0.0018921057,0.0014413133,0.0014919976,0.026884293,0.026756398,0.00012790199,4.190858e-06,5.2800417e-05,0.02506071,0.0016386962,0.024100449,0.021768328,0.00233212,4.2232627e-05,0.00021164336,0.018663926,0.0028505279,3.7800000000000002
14,0.008151302,0.0011671777,0.0069841244,0.00028553104,1.5773334e-05,0.00044095368,0.00042491965,0.007958967,0.007958967,0.0,6.774979e-06,0.0036891124,0.0019162307,0.0023468495,0.02463306,0.024515191,0.00011786994,7.402439e-06,9.3013114e-05,0.022989038,0.0014257394,0.023812547,0.022336699,0.0014758484,4.2612282e-05,0.00037226788,0.01852796,0.0033938575,4.0600000000000005
15,0.0072654295,0.0013989677,0.0058664614,0.0006022557,5.6554054e-06,0.00028668664,0.0005043699,0.016288918,0.016288918,0.0,1.2327171e-05,0.008999937,0.002832625,0.004444028,0.028616989,0.028509222,0.00010776923,1.2674562e-05,0.0002180904,0.02646888,0.0018095723,0.027396716,0.026121814,0.0012749019,0.000102951555,0.00094410975,0.020634748,0.0044400054,4.34
16,0.009764333,0.0020960006,0.007668332,0.0008678492,5.370789e-06,0.00046191018,0.00076087035,0.011797643,0.011797642,0.0,2.8811905e-06,0.0053406367,0.0030438106,0.003410314,0.03722035,0.0370942,0.0001261501,2.4394445e-05,0.00012129443,0.034016576,0.002931939,0.03534466,0.033159662,0.0021849948,7.425225e-05,0.000637468,0.027137058,0.0053108865,4.620000000000001
17,0.008302937,0.0028330693,0.005469867,0.0013184723,2.9070341e-05,0.00066198333,0.0008235435,0.011522698,0.011522697,0.0,1.2901248e-05,0.0046569593,0.0035206727,0.0033321646,0.03903669,0.03895463,8.206502e-05,3.8513717e-05,0.00017990505,0.036087397,0.0026488118,0.038004268,0.036360428,0.0016438408,0.00022183424,0.00067937124,0.03050195,0.004957271,4.9
18,0.006055354,0.0027678765,0.003287478,0.000803452,3.109951e-05,0.0009312819,0.001002043,0.0099142715,0.009914272,0.0,9.748943e-06,0.0033780911,0.00379184,0.002734592,0.041578785,0.04151121,6.757877e-05,2.1543812e-05,0.00010241717,0.038878776,0.002508475,0.041372042,0.040147327,0.0012247172,9.844459e-05,0.000469671,0.034774993,0.004804218,5.180000000000001
