,TimeBinCenters_Gyr,StellarAgeDist_All,StellarAgeDist_All_InSitu,StellarAgeDist_H,StellarAgeDist_H_InSitu,StellarAgeDist_B,StellarAgeDist_B_InSitu,StellarAgeDist_CD,StellarAgeDist_CD_InSitu,StellarAgeDist_WD,StellarAgeDist_WD_InSitu
11,5.75,0.043084648312984634,0.043039701987886064,0.0013229602717004976,0.0009626016902298396,0.001165006033532366,0.001165006033532366,0.06557290840966827,0.06556904171773922,0.0299580916657984,0.02989441878234293
12,6.25,0.0429570007497047,0.042888232872303894,0.001712937366716689,0.0013278966906247532,0.0055070643151093725,0.0055070643151093725,0.06082229070563261,0.06081687733693193,0.0418649208719712,0.04166811377765429
13,6.75,0.051571862881347096,0.051326905409559906,0.002818695205749941,0.0021868335834452253,0.004654811579169588,0.004654811579169588,0.07224372532567212,0.07216020478000457,0.05489181398256521,0.053997499392213384
14,7.25,0.05109857807805918,0.05082665281121285,0.0032284179764631546,0.002863122976068241,0.0021736354182684413,0.0021736354182684413,0.07043179348771746,0.07029027256311408,0.06114043922712696,0.06013324997974045
15,7.75,0.04603986918821543,0.045609283393771155,0.004146591896374694,0.0034604296659031674,0.010044593407681742,0.010044593407681742,0.05619231378978343,0.055986605779157754,0.07257840447330949,0.070977899720997
16,8.25,0.04185222007878192,0.04125533288147294,0.0066691019666692995,0.005104257167680278,0.021736354182684412,0.021736354182684412,0.04431306284534392,0.04405476782448312,0.07560865488139479,0.07364926660415147
17,8.75,0.04890115224399023,0.04705295935593714,0.054004423031356136,0.04993187741884527,0.09628370894135616,0.09506657735822502,0.021474060297193943,0.020706135280083828,0.09593767003554104,0.09064992648676183
18,9.25,0.058156499508287204,0.032696653656203764,0.20003356764868493,0.10270713213806176,0.11421489800333082,0.057971429986264915,0.011349514150159114,0.008204346935066642,0.0878975213883004,0.05524490906354554
19,9.75,0.04424426350052767,0.021142301863115068,0.1500424532027486,0.06914441987204802,0.07840985798394012,0.04018358618568685,0.010059585722626722,0.004969472467220119,0.07221083828245291,0.032380555459081486
20,10.25,0.04076586740114955,0.0233123104388739,0.13358936892820472,0.06519528473264355,0.0802994091568953,0.050835442246194185,0.008529922395492984,0.005391715225872809,0.06308535639449403,0.03526030632445386
21,10.75,0.0408616030736095,0.01979076586740115,0.10442994234262697,0.03169180949372088,0.10430583102460586,0.05859954285893002,0.00734671466520248,0.004080906661923524,0.05856747589113095,0.02851098067817409
22,11.25,0.03434528486081921,0.018459455717981587,0.09724251638891084,0.03839052997393571,0.08649974328166822,0.0559906591015119,0.005695637211496449,0.003016793043047881,0.04677352134199284,0.022890401602241286
23,11.75,0.0325919287187241,0.01949142334224469,0.0728812889977095,0.02050588421135771,0.1054551993932586,0.08050009252285054,0.003825704994605965,0.0017933717166952157,0.03571469917456789,0.017382697183343173
24,12.25,0.03489093324751582,0.023738401600808316,0.06550627912487166,0.01866459995261038,0.12113717099004663,0.10006802384222639,0.004049199788105282,0.002381108889911414,0.036591648433068225,0.02188031813287952
25,12.75,0.0399455969681007,0.028497318502244618,0.07466827264829003,0.036366598214990914,0.1398189679662435,0.11135059905287877,0.004466029178057297,0.002890738886160723,0.04146262401741164,0.02770928119103023
26,13.25,0.005709082214020018,0.002708016087188679,0.023536845430850644,0.009527288523813284,0.011759523989481064,0.006950942038995124,0.0008197386889594345,0.0003294421523553954,0.006836152305537226,0.002900010419199111
27,13.75,4.5395788349552964e-05,0.0,0.0001234104731063897,0.0,0.00011467620911727989,0.0,4.640030314864724e-06,0.0,7.524977135646396e-05,0.0
