Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
51.0,1.816629764214748,3.4908613692606485,0.22267443097773348,337847808.0,83907744.0,179912960.0,23444280.0,50582832.0
52.0,1.949231863937383,3.2830330579565246,0.23347940267290615,380529440.0,80257824.0,217079104.0,25597824.0,57594676.0
53.0,2.0913186379114133,3.084822635834013,0.24480867081657914,426512960.0,105859024.0,236043200.0,24988820.0,59621940.0
54.0,2.243523728229641,2.8957850057274284,0.2566876761756205,103541104.0,38466632.0,40118940.0,10452275.0,14503267.0
55.0,2.38970908764874,2.7331426173187188,0.2678708269437177,145978080.0,29809908.0,85587656.0,11157008.0,19423504.0
56.0,2.545136331266385,2.5772902716018935,0.27954119573086944,179056480.0,34030632.0,83275440.0,22650720.0,39099688.0
57.0,2.6914781240414243,2.4442257045541464,0.29034101878914165,245938832.0,57937104.0,107773624.0,32177928.0,48050168.0
58.0,2.845920886458248,2.3161107439568918,0.30155808331261197,391688960.0,54716360.0,190016864.0,48769048.0,98186696.0
59.0,2.988012615874371,2.207925472383703,0.3117279402557108,454845056.0,126310608.0,243605760.0,26543956.0,58384744.0
60.0,3.1368772698499368,2.1032696525957713,0.32224076923625916,342664128.0,179131312.0,106014928.0,17863604.0,39654256.0
61.0,3.29278934427696,2.0020281392528516,0.3331081367707903,642105984.0,130106448.0,169893872.0,133496976.0,208608752.0
62.0,3.4560273421127374,1.9040895435327672,0.344341999449342,1062072192.0,265737536.0,549393536.0,78183136.0,168757968.0
63.0,3.6019897617620327,1.822689252620354,0.3542720825792927,1602619008.0,357645280.0,779874304.0,156380320.0,308719104.0
64.0,3.7537195774394347,1.7435705743308647,0.3644885279628326,1904064256.0,414115616.0,1069488704.0,107007888.0,313451872.0
65.0,3.911395417791096,1.6666695561144653,0.3749995936718436,2118770432.0,436570912.0,1238450304.0,120769224.0,322980160.0
66.0,4.047462659359281,1.6042345220731056,0.3839899945738943,2252733952.0,454862400.0,1233239424.0,173424256.0,391207904.0
67.0,4.216501575170758,1.5312390291576135,0.395063440663206,2453880320.0,663498112.0,1315998464.0,129645352.0,344738528.0
68.0,4.362284942489244,1.4719748452657977,0.40453486082803386,2621686784.0,767600704.0,1373074304.0,136191072.0,344820576.0
69.0,4.51264561130662,1.4140982203725216,0.41423335287728646,2767282176.0,737717504.0,1500085376.0,154801696.0,374677472.0
70.0,4.667681813768118,1.3575766674029972,0.42416436072959446,2902484992.0,903595264.0,1438412032.0,160632320.0,399845504.0
71.0,4.827489579195381,1.3023784599059653,0.4343334588184266,3102266624.0,773153792.0,1704523520.0,188221856.0,436367584.0
72.0,4.992162284945694,1.2484726142451428,0.4447463552211064,3282736896.0,842090240.0,1752803712.0,226304160.0,461538912.0
73.0,5.127463975584815,1.2062580807810006,0.45325613023749545,3427147776.0,1265089408.0,1378398080.0,259122944.0,524537088.0
74.0,5.301118608921481,1.1546027123602154,0.46412268687092223,3672675840.0,1266017536.0,1453761280.0,310452032.0,642444736.0
75.0,5.443716379840261,1.1141505637653806,0.4730032085410998,3928570368.0,848213696.0,2118073984.0,301792768.0,660489984.0
76.0,5.589624137566063,1.074457894547674,0.4820536500780824,4649640960.0,1035199104.0,2351226368.0,401028992.0,862186624.0
77.0,5.738880497072539,1.035510445664141,0.4912772627279358,5260720640.0,1368492800.0,3001678336.0,260707008.0,629842304.0
78.0,5.930215178562359,0.987852810815766,0.5030553542792862,5958061056.0,1397963520.0,3156107264.0,387892736.0,1016098176.0
79.0,6.087135431528504,0.9505313515850327,0.5126808134549512,6734274048.0,2032838144.0,2858274048.0,580336832.0,1262824064.0
80.0,6.207093384097111,0.9230008161779089,0.5200205801199638,7323346944.0,2167333888.0,3214924544.0,570782784.0,1370305536.0
81.0,6.370083836372647,0.8868969375752482,0.5299706518603222,8071959040.0,2198307072.0,3734254592.0,689978752.0,1449419264.0
82.0,6.536579634205232,0.8514709006246495,0.5401111082343341,9199368192.0,2814044160.0,4159553280.0,730058944.0,1495712384.0
83.0,6.706603691236406,0.8167099790118506,0.5504455920608321,9998140416.0,2875309568.0,4456263680.0,801400896.0,1865166720.0
84.0,6.836449148310662,0.7910682489463392,0.5583260161014446,10636236800.0,2754283776.0,4933738496.0,1034327872.0,1913887488.0
85.0,7.012693145756433,0.7574413726158526,0.5690090239036288,11426769920.0,2715173888.0,5331418112.0,1188218624.0,2191960064.0
86.0,7.147221247683246,0.7326361820223115,0.5771552102951079,12094397440.0,2553930752.0,5704503808.0,1355310592.0,2480651264.0
87.0,7.329727457563047,0.7001063537185233,0.5881984958251407,13809817600.0,2788204800.0,5486639104.0,2283950080.0,3251023104.0
88.0,7.468962790806977,0.6761104112134777,0.596619407235837,14627647488.0,3261449728.0,5666834944.0,2461406464.0,3237956864.0
89.0,7.657754221443944,0.6446418406845371,0.6080351206337894,15552388096.0,3648795648.0,5758868480.0,2694518272.0,3450204928.0
90.0,7.80170653839661,0.6214287452425136,0.616740021992414,15876951040.0,3801005568.0,5560063488.0,2796985088.0,3718896384.0
91.0,7.947679589081643,0.5985432881875667,0.6255695465925124,15941079040.0,3813641728.0,5594054656.0,2738225920.0,3795155712.0
92.0,8.095671082722221,0.5759808451078874,0.6345254785958663,16313374720.0,4026390784.0,5654764544.0,2845265408.0,3786953216.0
93.0,8.296126559325902,0.5463921831410221,0.6466664866145445,17505126400.0,4398991872.0,5539355136.0,3188099328.0,4378677760.0
94.0,8.448811765562718,0.524565820433923,0.6559244517992534,20267288576.0,4071684608.0,6959987200.0,3884629248.0,5350991360.0
95.0,8.60349865622863,0.5030475232448832,0.6653149581332802,21038862336.0,6118830592.0,6680555008.0,3147772416.0,5091703808.0
96.0,8.760179450310375,0.4818329434209512,0.6748399031346985,22197678080.0,5857127424.0,7666316800.0,3162263040.0,5511974400.0
97.0,8.918845098217659,0.4609177941806475,0.684501211487295,22963951616.0,6584133632.0,7103730688.0,3521243136.0,5754844672.0
98.0,9.079485288786328,0.4402978492477432,0.6943008354294861,23734446080.0,6541059584.0,7034240000.0,4120441088.0,6038702080.0
99.0,9.242088459951992,0.41996894199726653,0.7042407551488017,24353388544.0,6430939136.0,7181905920.0,4308727808.0,6431817728.0
100.0,9.406641813093389,0.3999269646135635,0.7143229791820179,25125648384.0,6674428928.0,7191734784.0,4518390784.0,6741096448.0
