SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
62,2.3730193,11.4475105,2.7508734,0.2666046,179.2,19.6689467,0,0,179.2,19.6689467,-2639.405,0.3007783168990034,0.7106921621432417,0.6746206397796276,0.9126178572529366
63,2.4234315,11.3970983,2.6979321,0.2704214,180.044,19.9838112,0,0,180.044,19.9838112,-726.01,0.33923868371230537,0.6423709564019475,0.5633424840360534,0.9271598954585654
64,2.4748833,11.3456465,2.6457381,0.2742929,181.471,20.498587,0,0,181.471,20.498587,-5111.062,0.39731009518645866,0.5675161205830971,0.6673321603119949,1.067759817050152
65,2.527394,11.2931358,2.5942808,0.2782198,184.295,21.5132391,0,0,184.295,21.5132391,-2491.337,0.32308871740021355,0.5287484936973644,0.8458023688812152,1.0406321691610751
66,2.5809834,11.2395464,2.5435498,0.2822029,196.57,26.157163,0,0,196.57,26.157163,-15130.732,0.4509163985655645,0.36832252995548187,1.0098044448868948,0.9809935242191137
67,2.6356714,11.1848584,2.4935348,0.286243,207.149,30.6747845,0,0,207.149,30.6747845,-13830.247,0.4201538292826361,0.4208779737275325,0.9654193827100397,1.0131054701674835
68,2.6914781,11.1290517,2.4442257,0.290341,210.837,32.413714,0,0,210.837,32.413714,-13792.194,0.39599918983289084,0.511722764732425,1.045752237690939,1.3052189571128505
69,2.7484239,11.0721059,2.3956126,0.2944977,213.289,33.6343186,0,0,213.289,33.6343186,-19831.453,0.6614014705417484,0.6783002760103353,0.9526768225231633,1.3719202419149998
70,2.8065294,11.0140004,2.3476856,0.2987138,214.906,34.4896141,0,0,214.906,34.4896141,-19028.41,0.5206092809557162,1.694845788412332,1.0420750045419314,2.3437802379918837
71,2.8459209,10.9746089,2.3161107,0.3015581,215.846,34.9977338,0,0,215.846,34.9977338,-18039.211,0.7279470021652942,3.474754622096533,0.6792899495064493,1.6459866164989148
72,2.9060054,10.9145244,2.2693059,0.3058753,216.962,35.6345608,0,0,216.962,35.6345608,-19707.5,1.016232272711787,1.3137854624260599,1.1033490708196585,2.1883286882631303
73,2.9673055,10.8532243,2.2231617,0.3102544,218.322,36.4040692,0,0,218.322,36.4040692,-12180.543,0.7755945354731475,1.3975802049010784,1.1023920867330292,1.927050003632123
74,3.008858,10.8116718,2.1927613,0.3132085,219.07,36.8511154,0,0,219.07,36.8511154,-17906.529,0.6508894084344491,1.2181262804750976,1.2392164195681727,1.816264638752079
