,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
63,3.6019897617620327,0.3542720825792927,0.030400794375861018,-0.9061116986684379,0.9534430923484051,0.530403681542371,0.12978548581163962,1.740225393158434,0.6602070099902468,-0.6125362202333773,0.9380261079520672,0.38290548305027794,-0.26881876444726877,0.9228800144076182
64,3.7537195774394347,0.3644885279628326,2.3696526180674266e-05,-0.8430133734583717,0.8678881577748376,0.5021895876634018,0.1304264793381877,1.5207569853011351,0.7551645478787351,-0.27069928430711154,0.9592840886737715,0.5203139559574733,-0.11542653405145172,0.9783436844425726
65,3.911395417791096,0.3749995936718436,-0.0938454277850147,-1.016353435909426,0.6288065107234597,0.4983163308282438,0.12984857046971005,1.4663676851674554,0.8628768604252526,-0.048655461336949216,0.9691206435359143,0.7431308909654751,-0.019767190208157655,1.0266382296854313
66,4.047462659359281,0.3839899945738943,-0.03824305593978066,-0.7966371399383768,0.6613170339285728,0.419114037931619,0.1079709485173895,1.3061364298357214,0.9085476269933089,0.25183500756458327,0.982823944626561,0.7904407272288968,0.10876054728390613,1.0487905781083013
67,4.216501575170758,0.395063440663206,-0.0717368398189047,-0.7916906956555105,0.5912490971373843,0.415435537468844,0.12110829275594855,1.1947081116519676,0.9253515152394081,0.5281000807334313,0.9854058772864326,0.8128578315574854,0.25677768565729897,1.0401736625434022
68,4.362284942489244,0.40453486082803386,-0.010618563054013487,-0.6800853676029543,0.672712064849299,0.40626461328551533,0.1103031197736186,1.144397466423269,0.9349075172562119,0.6580952021953785,0.9859816955012554,0.831947638382138,0.3842172647364537,1.0618893705090655
69,4.51264561130662,0.41423335287728646,-0.03800538441191616,-0.6631441632483567,0.6149235529165847,0.38696741899415543,0.10651381881867296,1.105934901171262,0.9415412067638933,0.7279767530807671,0.9879959904950413,0.8134031774696265,0.4374925574744934,1.0617489116850367
70,4.667681813768118,0.42416436072959446,-0.0182143161184368,-0.6220354916711079,0.6506883246724281,0.39563852700368574,0.11163205121275835,1.043783578442059,0.9424672521262452,0.7400056687203055,0.9879632252295388,0.7967606218467597,0.4380228758569762,1.0675972789129198
71,4.827489579195381,0.4343334588184266,0.04105030932633922,-0.5674806073024254,0.6487785842386736,0.3827660115226244,0.10705333435228526,0.9903194617393584,0.9465994939066096,0.7861506480461943,0.988321431831616,0.8261230152609098,0.49728896529671013,1.0729024305935253
72,4.992162284945694,0.4447463552211064,-0.011503554007067256,-0.6008433061846393,0.5757820453545066,0.3767481219149022,0.10751050643906877,0.9710420450579759,0.9409250217986198,0.7760246702118425,0.9878477126510765,0.799817727814377,0.4707295862003941,1.0715863089910993
73,5.127463975584815,0.45325613023749545,0.016570457669008713,-0.506596786284063,0.6027967298716936,0.3434618522813604,0.10041435791533185,0.9429788904372111,0.9464147124592288,0.7880911951194158,0.9891537346809163,0.838939501025729,0.4933825316952916,1.0823043785624697
74,5.301118608921481,0.46412268687092223,0.04789219259303836,-0.5353484922040678,0.652688396206526,0.3853342912730522,0.11046393217171425,0.9292919015893126,0.9399612660455744,0.7801128595062368,0.9869140390421395,0.8300101689799869,0.5407192376604711,1.0685505077078699
75,5.443716379840261,0.4730032085410998,0.006574582866350695,-0.53692999105125,0.5901336817546264,0.354965452479126,0.10145498262891252,0.9026174314443123,0.9454260433760262,0.8003742068845591,0.9876889983966883,0.8337775017863188,0.5556815723932346,1.0581084153079652
76,5.589624137566063,0.4820536500780824,0.032714184708232036,-0.5050713863077472,0.5563773353581921,0.3370773630566755,0.0970416174207179,0.8610147262278682,0.9462027704454691,0.8009030951907623,0.9880047450545791,0.8410666809368081,0.5482143990826917,1.068375882206108
77,5.738880497072539,0.4912772627279358,0.03741940579551684,-0.4682820352708981,0.5587889185283643,0.3218378407284458,0.0923191946196534,0.8461648796060517,0.9489847950600039,0.8141677703511305,0.9886257803004727,0.848600159378019,0.5737130659500367,1.0663425315942434
78,5.930215178562359,0.5030553542792862,-0.006642683609370776,-0.48806049995719375,0.48578819668910517,0.30847204246698956,0.0872900834269629,0.7934861022540544,0.9452057696946115,0.7985965473254918,0.9882297741367823,0.8289151535730888,0.5436681420345474,1.0737392946207995
79,6.087135431528504,0.5126808134549512,0.04052595023602001,-0.4850420876306748,0.6018100415299196,0.35760393132213253,0.10480964637261724,0.8311492701384494,0.8834476267084315,0.645197805929293,0.9717171949645884,0.7224083740068823,0.4061091102230947,0.9935811422614456
80,6.207093384097111,0.5200205801199638,0.032033499236568855,-0.6234764788806073,0.6688817590426509,0.3997187207231314,0.1118561387536668,1.005029029712781,0.8857724330030337,0.6723289967804432,0.9683064300970458,0.7438701955039867,0.4493173190928094,1.0129443744145221
81,6.370083836372647,0.5299706518603222,-0.08013727123910204,-1.031817922515621,0.8543841148434879,0.6525770896106695,0.20667228801041204,1.369430110864574,0.726958411661712,0.43891331620203294,0.9016820920492505,0.58845527549252,0.2785068175100333,0.878226031456164
82,6.536579634205232,0.5401111082343341,-0.09506757088134238,-1.4705636228174312,1.1518068777142167,0.8545780054812571,0.2557906522657081,1.9225050937264778,0.37670674675154703,-0.036923814792961106,0.6918961143428166,0.2909733949206148,-0.02625575036767713,0.6096101427925613
83,6.706603691236406,0.5504455920608321,-0.008420353295264619,-1.0203168554970439,1.0859454217936853,0.6609081666836206,0.19399446723701472,1.721605839523021,0.720751804846052,0.37805605129131625,0.9088321633296095,0.5626928883818058,0.2561633728176747,0.8556743054730767
84,6.836449148310662,0.5583260161014446,0.027241785469916954,-0.8306670056261506,0.9555736667588239,0.4940361207583016,0.1276789552442985,1.6802224398577337,0.8265376663166261,0.5100556478654956,0.9552805712882582,0.6473369177409851,0.3366071099587139,0.934600288466197
85,7.012693145756433,0.5690090239036288,-0.000444757239238397,-1.0024529924352614,0.9676393422374092,0.5258693586516543,0.12261553425338292,1.851255440313776,0.8451777679713721,0.5671437472648689,0.9559801109526117,0.6757398340303763,0.3671776245138958,0.9514690908228136
86,7.147221247683246,0.5771552102951079,-0.031457641949842824,-1.0603169216283985,0.932354939876179,0.5254512113128418,0.12452033112381175,1.9114355741105162,0.8577806514851712,0.5396379406691466,0.9662231154774981,0.6815336268672039,0.3620196235393304,0.9692510883658438
87,7.329727457563047,0.5881984958251407,0.007514500727487857,-0.9449479289022256,1.0051690699082776,0.5311619728687867,0.1298490408865779,1.8406303482944926,0.8759376763306926,0.5276156846603866,0.9778002263042553,0.7093822579479676,0.35892377280285903,0.9948449540025491
88,7.468962790806977,0.596619407235837,-0.036862470378448337,-1.0512701197904362,0.855115210199911,0.5205432243993103,0.13258753252434952,1.8152415504564294,0.8981426301195083,0.5701497081371025,0.9823739274546186,0.7335145981119353,0.39072992653587313,1.007312427767206
89,7.657754221443944,0.6080351206337894,-0.0015978225368698026,-0.9464315737496819,0.9618967205575055,0.5111434867461795,0.12410110453449429,1.8394366472377834,0.9215662156307212,0.6042205611431561,0.9857429259705083,0.7802377014080011,0.43139414273051124,1.0289721865004897
90,7.80170653839661,0.616740021992414,0.0022308523396349558,-0.8663984435103016,0.8452808489054036,0.4778776728730248,0.12095391550676458,1.607121721750843,0.9343353215728459,0.6289119224557913,0.9891824776824599,0.8035521188193466,0.4515561950295291,1.0328396285996613
91,7.947679589081643,0.6255695465925124,-0.009533034519030165,-0.8552196363715014,0.8263353024332257,0.4764898829793609,0.1195435472549455,1.5808482739735206,0.9440578230472638,0.6536160049775042,0.9913610089705874,0.8211248050390397,0.4622630631845167,1.0409526720266564
92,8.095671082722221,0.6345254785958663,-0.02347184945266028,-0.9108557368913218,0.8313310048176273,0.4874284320410086,0.12107999229003416,1.6271909823949546,0.9483685287175754,0.6799957302453796,0.9915379220839976,0.8323419422903342,0.4817819982726948,1.04542462825074
93,8.296126559325902,0.6466664866145445,0.004509634569220496,-0.8797332519613157,0.9236497394825726,0.5035193568653116,0.12383697879047133,1.6663754280171088,0.9524148096410243,0.7143460883701884,0.9916406461020681,0.8390978057310452,0.5011009166456454,1.0514626136681275
94,8.448811765562718,0.6559244517992534,-0.02279432668299818,-0.9768530658999834,0.9507117148599268,0.5418925632379468,0.1357781031464506,1.7215635390166828,0.9509279276504115,0.7205094566485353,0.9909220519418798,0.8429874518695086,0.5204401102116227,1.0430197083263988
95,8.60349865622863,0.6653149581332802,-0.04345366535122398,-1.1496190997219407,0.895134818351679,0.5612031791290527,0.13471514795806466,1.836876759438807,0.9516544627853486,0.7453291244610545,0.9907210153087072,0.8437217313725149,0.5362361472506366,1.0470206570901708
