SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2
49,1.7169718999999997,12.1035579,3.6643617999999996,0.21439160000000002,132.65903319999998,7.8220334000000005,0,0,132.65903319999998,7.8220334000000005,-4024.17138671875
50,1.7661089,12.0544209,3.5767895,0.21849380000000002,136.0720852,8.452361900000001,0,0,136.0720852,8.452361900000001,-3453.109619140625
51,1.8166297999999999,12.0039,3.4908614,0.22267440000000002,140.24069440000002,9.2655384,0,0,140.24069440000002,9.2655384,-5951.8017578125
52,1.8685717,11.951958099999999,3.4065464999999997,0.2269351,154.62420680000002,12.436741900000001,0,0,154.62420680000002,12.436741900000001,-15956.1669921875
53,1.9084832999999999,11.912046499999999,3.3443509,0.23018400000000003,160.11173469999997,13.8244753,0,0,160.11173469999997,13.8244753,-28299.423828125
54,1.9630035,11.8575263,3.2627867000000004,0.23458829999999997,163.9756804,14.8728106,0,0,163.9756804,14.8728106,-19643.51171875
55,2.0190508,11.801478999999999,3.1827539000000002,0.23907689999999998,166.689211,15.6474427,0,0,166.689211,15.6474427,-12988.59375
56,2.0621126,11.758417199999998,3.1237169999999996,0.24249970000000004,170.0763283,16.6430395,0,0,170.0763283,16.6430395,-11958.83203125
57,2.1060731,11.7144567,3.0655132999999997,0.2459714,173.4128406,17.6663699,0,0,173.4128406,17.6663699,-8393.0693359375
58,2.1661155,11.654414300000001,2.9891842,0.2506778,176.13165930000002,18.544957699999998,0,0,176.13165930000002,18.544957699999998,-4612.17626953125
59,2.2122417000000003,11.6082881,2.9328794,0.2542666,177.5431359,19.023354,0,0,177.5431359,19.023354,-3821.423583984375
60,2.2593261,11.5612037,2.8773692000000004,0.2579068,178.44352709999998,19.3440557,0,0,178.44352709999998,19.3440557,-5193.5849609375
61,2.3236275,11.4969023,2.8045726,0.26284159999999995,178.84810339999999,19.5180826,0,0,178.84810339999999,19.5180826,-2898.072998046875
62,2.3730192999999997,11.4475105,2.7508734,0.26660459999999997,179.2000079,19.6689467,0,0,179.2000079,19.6689467,-3618.647705078125
63,2.4234315,11.397098300000001,2.6979321,0.27042140000000003,180.04449499999998,19.983811199999998,0,0,180.04449499999998,19.983811199999998,-4130.93408203125
64,2.4748832999999997,11.345646499999999,2.6457381,0.2742929,181.4711761,20.498587,0,0,181.4711761,20.498587,-5113.00439453125
65,2.5273939999999997,11.2931358,2.5942808,0.27821979999999996,184.294712,21.5132391,0,0,184.294712,21.5132391,-6829.32421875
66,2.5809834,11.2395464,2.5435498,0.28220290000000003,196.56984309999999,26.157163,0,0,196.56984309999999,26.157163,-11754.091796875
67,2.6356714,11.1848584,2.4935348,0.28624299999999997,207.1486342,30.674784499999998,0,0,207.1486342,30.674784499999998,-14320.37890625
68,2.6914781000000003,11.1290517,2.4442257,0.29034099999999996,210.836699,32.413714,0,0,210.836699,32.413714,-15982.3486328125
69,2.7484238999999997,11.0721059,2.3956126,0.29449770000000003,213.2886514,33.6343186,0,0,213.2886514,33.6343186,-21149.509765625
70,2.8065293999999996,11.0140004,2.3476856,0.2987138,214.9055054,34.4896141,0,0,214.9055054,34.4896141,-14291.2333984375
71,2.8459209,10.974608900000002,2.3161107000000003,0.30155809999999994,215.8457935,34.9977338,0,0,215.8457935,34.9977338,-18257.375
